id,total_credit,gender,education,married_status,age,repay_sep,repay_aug,repay_jul,repay_jun,repay_may,repay_apr,bill_sep,bill_aug,bill_jul,bill_jun,bill_may,bill_apr,payment_sep,payment_aug,payment_jul,payment_jun,payment_may,payment_apr,payment_default
USER_1693,150000.0,female,graduate school,single,27.0,No consumption,No consumption,No consumption,No consumption,No consumption,No consumption,0.0,610.0,610.0,0.0,610.0,0.0,610.0,610.0,0.0,610.0,0.0,0.0,0
USER_6931,360000.0,female,graduate school,single,35.0,payment delay for 1 month,No consumption,No consumption,No consumption,No consumption,Paid in full,0.0,0.0,0.0,0.0,0.0,1392.0,0.0,0.0,0.0,0.0,1392.0,12884.0,1
USER_633,20000.0,female,high school,married,25.0,Use of revolving credit,Use of revolving credit,Use of revolving credit,Use of revolving credit,Use of revolving credit,No consumption,16591.0,16442.0,6401.0,4300.0,1304.0,0.0,1155.0,1000.0,0.0,1304.0,0.0,0.0,0
USER_1486,20000.0,female,university,others,44.0,payment delay for 2 months,payment delay for 2 months,payment delay for 7 months,payment delay for 7 months,payment delay for 7 months,payment delay for 6 months,2400.0,2400.0,2400.0,2400.0,2400.0,1800.0,0.0,0.0,0.0,0.0,0.0,0.0,0
USER_24658,180000.0,male,university,married,43.0,Paid in full,Paid in full,Paid in full,Paid in full,Paid in full,Paid in full,2745.0,3873.0,3275.0,2347.0,3020.0,2193.0,3884.0,3284.0,2354.0,3029.0,2199.0,12553.0,1
USER_27968,130000.0,female,graduate school,single,27.0,Use of revolving credit,Use of revolving credit,Use of revolving credit,Use of revolving credit,Paid in full,Paid in full,37319.0,38252.0,46741.0,42881.0,367.0,46265.0,2031.0,10000.0,1000.0,367.0,61170.0,1200.0,1
USER_15458,80000.0,male,high school,married,31.0,payment delay for 1 month,No consumption,No consumption,No consumption,No consumption,No consumption,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
USER_23986,50000.0,male,university,single,37.0,Use of revolving credit,Use of revolving credit,Use of revolving credit,Use of revolving credit,Use of revolving credit,Use of revolving credit,16029.0,17039.0,18064.0,19076.0,19453.0,19862.0,1281.0,1306.0,1318.0,695.0,721.0,1018.0,1
USER_403,150000.0,male,graduate school,single,41.0,Paid in full,Paid in full,Paid in full,Paid in full,Paid in full,payment delay for 2 months,1464.0,2084.0,384.0,0.0,2344.0,822.0,2091.0,384.0,0.0,2344.0,0.0,472.0,0
USER_27005,60000.0,male,graduate school,single,31.0,Use of revolving credit,Use of revolving credit,Use of revolving credit,Use of revolving credit,No consumption,No consumption,57937.0,49740.0,51400.0,0.0,0.0,0.0,3000.0,3000.0,0.0,0.0,0.0,0.0,0
USER_18733,60000.0,female,university,single,23.0,Paid in full,Use of revolving credit,Use of revolving credit,Use of revolving credit,Use of revolving credit,Use of revolving credit,56250.0,54971.0,55079.0,55525.0,56634.0,57052.0,2000.0,2100.0,2000.0,2000.0,2100.0,2050.0,1
USER_4098,120000.0,female,high school,single,46.0,Use of revolving credit,Use of revolving credit,Use of revolving credit,Use of revolving credit,Use of revolving credit,Use of revolving credit,116697.0,108828.0,101417.0,89852.0,91503.0,89571.0,4200.0,4715.0,3200.0,3010.0,3772.0,3464.0,0
USER_16684,20000.0,male,high school,married,44.0,payment delay for 2 months,payment delay for 2 months,payment delay for 2 months,payment delay for 2 months,payment delay for 2 months,Use of revolving credit,11623.0,12436.0,12943.0,15428.0,14883.0,15494.0,1300.0,1000.0,2700.0,0.0,850.0,850.0,0
USER_17308,360000.0,female,university,single,36.0,No consumption,No consumption,No consumption,Paid in full,Paid in full,No consumption,-149.0,-149.0,-4.0,585.0,139.0,0.0,0.0,145.0,744.0,139.0,0.0,0.0,0
USER_29602,290000.0,male,university,single,34.0,Use of revolving credit,Use of revolving credit,Use of revolving credit,Use of revolving credit,Use of revolving credit,Use of revolving credit,14543.0,12190.0,14483.0,16589.0,18306.0,22204.0,2000.0,3000.0,3000.0,3000.0,5000.0,3000.0,0
USER_18986,200000.0,female,graduate school,single,30.0,Use of revolving credit,Use of revolving credit,Use of revolving credit,Use of revolving credit,Use of revolving credit,Use of revolving credit,96152.0,102512.0,116813.0,125616.0,115314.0,114153.0,8000.0,16020.0,13000.0,7012.0,5000.0,8000.0,0
USER_14947,70000.0,female,university,married,31.0,Use of revolving credit,Use of revolving credit,Use of revolving credit,Use of revolving credit,Use of revolving credit,Use of revolving credit,71065.0,69311.0,70882.0,68678.0,69030.0,66791.0,2566.0,2775.0,2381.0,3000.0,2452.0,2608.0,1
USER_28120,80000.0,female,graduate school,married,41.0,Use of revolving credit,Use of revolving credit,Use of revolving credit,Use of revolving credit,No consumption,No consumption,11987.0,13007.0,3537.0,0.0,0.0,0.0,1325.0,1000.0,0.0,0.0,0.0,0.0,0
USER_21082,50000.0,male,graduate school,single,41.0,No consumption,No consumption,No consumption,No consumption,No consumption,No consumption,-317.0,63435.0,697.0,-3.0,635.0,1269.0,63752.0,700.0,0.0,638.0,1275.0,421.0,1
USER_8749,50000.0,female,university,married,37.0,Use of revolving credit,Use of revolving credit,Use of revolving credit,Use of revolving credit,Use of revolving credit,Use of revolving credit,136650.0,137562.0,141347.0,134503.0,137015.0,136581.0,5420.0,6500.0,5000.0,5200.0,5100.0,5000.0,1
USER_5262,50000.0,female,university,married,36.0,Use of revolving credit,Use of revolving credit,Use of revolving credit,Paid in full,Paid in full,Paid in full,27433.0,12916.0,6509.0,4417.0,0.0,4331.0,1161.0,1000.0,5254.0,4166.0,8497.0,4679.0,1
USER_15224,50000.0,female,university,single,35.0,Use of revolving credit,Use of revolving credit,Use of revolving credit,Use of revolving credit,Use of revolving credit,Use of revolving credit,442291.0,449790.0,450047.0,453770.0,396600.0,392879.0,16000.0,17610.0,17500.0,13810.0,14100.0,14520.0,1
USER_18708,50000.0,female,university,married,28.0,payment delay for 1 month,payment delay for 2 months,Use of revolving credit,Use of revolving credit,Use of revolving credit,Use of revolving credit,41468.0,40507.0,41464.0,35334.0,26875.0,23338.0,0.0,1970.0,1827.0,1044.0,993.0,1999.0,0
USER_11224,200000.0,female,university,single,28.0,Use of revolving credit,Use of revolving credit,Use of revolving credit,Use of revolving credit,Use of revolving credit,Use of revolving credit,63314.0,64699.0,66029.0,66836.0,68390.0,69800.0,3000.0,3000.0,2500.0,2632.0,2700.0,3500.0,1
USER_4941,30000.0,male,university,single,35.0,Use of revolving credit,Use of revolving credit,Use of revolving credit,Use of revolving credit,Use of revolving credit,Use of revolving credit,20180.0,21827.0,20723.0,19523.0,4294.0,3974.0,2000.0,2032.0,0.0,1000.0,3000.0,1000.0,0
USER_18492,170000.0,female,university,single,27.0,Use of revolving credit,Use of revolving credit,Use of revolving credit,Use of revolving credit,Use of revolving credit,Use of revolving credit,164646.0,162671.0,166202.0,161973.0,167201.0,161327.0,7200.0,7500.0,6000.0,10000.0,7000.0,16000.0,0
USER_13627,40000.0,male,university,married,48.0,Use of revolving credit,Use of revolving credit,Paid in full,Paid in full,Paid in full,Paid in full,1672.0,0.0,836.0,836.0,571.0,1735.0,0.0,836.0,836.0,571.0,2000.0,0.0,1
USER_5396,490000.0,female,university,married,52.0,Paid in full,Paid in full,Paid in full,Paid in full,Paid in full,Paid in full,2779.0,22595.0,755.0,7000.0,0.0,4341.0,22595.0,762.0,7000.0,0.0,4341.0,1061.0,0
USER_23726,210000.0,female,high school,married,55.0,Paid in full,Paid in full,No consumption,Paid in full,Use of revolving credit,Use of revolving credit,3857.0,0.0,0.0,95438.0,96317.0,98400.0,0.0,0.0,95438.0,3393.0,3580.0,3998.0,1
USER_19624,250000.0,female,university,married,37.0,Use of revolving credit,Use of revolving credit,Use of revolving credit,Use of revolving credit,Use of revolving credit,Use of revolving credit,212954.0,215928.0,221963.0,224949.0,229577.0,234221.0,8000.0,9510.0,8160.0,8364.0,8493.0,8625.0,0
USER_16194,200000.0,female,university,married,40.0,Paid in full,Paid in full,Paid in full,Paid in full,Paid in full,Paid in full,9798.0,14457.0,8916.0,12868.0,7818.0,12910.0,14499.0,8983.0,12908.0,7834.0,12919.0,13583.0,0
USER_19859,50000.0,female,graduate school,single,34.0,Use of revolving credit,Use of revolving credit,Use of revolving credit,Use of revolving credit,Paid in full,Paid in full,19406.0,17791.0,11796.0,3089.0,4624.0,210.0,6000.0,1600.0,1000.0,4641.0,210.0,3523.0,1
USER_20034,50000.0,female,university,married,32.0,payment delay for 1 month,payment delay for 2 months,Use of revolving credit,Use of revolving credit,Use of revolving credit,Use of revolving credit,18931.0,18329.0,19441.0,20113.0,19864.0,15424.0,0.0,1414.0,1146.0,729.0,970.0,0.0,1
USER_11818,50000.0,female,university,married,23.0,payment delay for 2 months,payment delay for 2 months,payment delay for 2 months,payment delay for 2 months,payment delay for 2 months,payment delay for 2 months,26795.0,29654.0,28879.0,30892.0,30500.0,0.0,3300.0,0.0,2500.0,0.0,0.0,0.0,1
USER_9331,50000.0,female,university,married,37.0,Use of revolving credit,Use of revolving credit,Use of revolving credit,Use of revolving credit,Use of revolving credit,Use of revolving credit,215928.0,221963.0,224949.0,229577.0,234221.0,238960.0,9510.0,8160.0,8364.0,8493.0,8625.0,8737.0,1
USER_25405,50000.0,female,graduate school,single,28.0,Use of revolving credit,Use of revolving credit,Use of revolving credit,Use of revolving credit,Use of revolving credit,Use of revolving credit,203850.0,203979.0,204712.0,205344.0,152992.0,140128.0,7500.0,8000.0,8400.0,6000.0,5200.0,5000.0,0
USER_27081,50000.0,male,graduate school,single,38.0,No consumption,No consumption,No consumption,No consumption,No consumption,No consumption,2318.0,1818.0,2057.0,2278.0,1224.0,-57060.0,1827.0,2066.0,2287.0,1242.0,1827.0,60860.0,1
USER_29873,230000.0,male,university,married,41.0,Use of revolving credit,Use of revolving credit,Use of revolving credit,Use of revolving credit,Use of revolving credit,Use of revolving credit,226467.0,231187.0,231272.0,228653.0,225471.0,224853.0,10000.0,10500.0,10000.0,9000.0,8200.0,9000.0,1
USER_29849,100000.0,male,university,single,44.0,payment delay for 2 months,payment delay for 2 months,payment delay for 2 months,payment delay for 2 months,payment delay for 2 months,payment delay for 2 months,80358.0,81344.0,84133.0,84873.0,82613.0,87461.0,2900.0,5000.0,3000.0,0.0,6200.0,4000.0,1
USER_7882,180000.0,female,graduate school,married,42.0,payment delay for 1 month,Paid in full,Paid in full,No consumption,No consumption,No consumption,0.0,1290.0,0.0,0.0,1200.0,0.0,1290.0,0.0,0.0,1200.0,0.0,0.0,0
USER_14187,120000.0,female,university,married,51.0,Use of revolving credit,Use of revolving credit,Use of revolving credit,Use of revolving credit,Use of revolving credit,payment delay for 2 months,115771.0,118818.0,119395.0,108802.0,99988.0,84253.0,5829.0,5900.0,4100.0,7100.0,0.0,17400.0,1
USER_21137,400000.0,female,university,single,48.0,Use of revolving credit,Use of revolving credit,Use of revolving credit,Use of revolving credit,Use of revolving credit,Use of revolving credit,112789.0,115910.0,120657.0,122338.0,124145.0,113477.0,5000.0,6624.0,5200.0,3826.0,3363.0,3398.0,1
USER_894,320000.0,female,university,single,27.0,Use of revolving credit,Use of revolving credit,Use of revolving credit,Use of revolving credit,Use of revolving credit,Use of revolving credit,137574.0,199563.0,122093.0,105425.0,100206.0,96073.0,6048.0,6371.0,3043.0,3031.0,3066.0,3031.0,1
USER_24270,20000.0,male,university,single,24.0,Use of revolving credit,Use of revolving credit,Use of revolving credit,Use of revolving credit,Use of revolving credit,Use of revolving credit,19498.0,13056.0,14092.0,10474.0,11198.0,12198.0,2000.0,1254.0,1000.0,724.0,1000.0,1000.0,0
USER_27445,50000.0,male,graduate school,single,32.0,Use of revolving credit,Use of revolving credit,Use of revolving credit,Use of revolving credit,Use of revolving credit,Use of revolving credit,198954.0,202511.0,199348.0,201941.0,101962.0,104837.0,7000.0,9000.0,9000.0,5000.0,5000.0,5000.0,0
USER_18217,50000.0,male,university,single,51.0,payment delay for 2 months,payment delay for 2 months,Use of revolving credit,Use of revolving credit,Use of revolving credit,Use of revolving credit,137965.0,128953.0,126516.0,123530.0,95921.0,88090.0,0.0,4940.0,4806.0,4107.0,4026.0,85750.0,1
USER_17484,50000.0,female,university,single,32.0,payment delay for 1 month,payment delay for 2 months,payment delay for 2 months,payment delay for 2 months,Use of revolving credit,Use of revolving credit,51132.0,49594.0,50292.0,48532.0,27308.0,27539.0,0.0,4800.0,0.0,1200.0,1200.0,1400.0,0
USER_14600,90000.0,female,university,single,34.0,No consumption,No consumption,No consumption,No consumption,No consumption,No consumption,1905.0,1924.0,11855.0,665.0,0.0,665.0,1924.0,11855.0,10655.0,0.0,665.0,0.0,0
USER_24002,60000.0,male,university,single,26.0,Use of revolving credit,Use of revolving credit,Use of revolving credit,Use of revolving credit,Use of revolving credit,Use of revolving credit,58072.0,59040.0,57416.0,55736.0,26958.0,28847.0,2282.0,2324.0,2049.0,2000.0,3000.0,1120.0,0
USER_21819,290000.0,female,university,single,26.0,Use of revolving credit,Use of revolving credit,Use of revolving credit,Use of revolving credit,Use of revolving credit,Use of revolving credit,262518.0,180499.0,138326.0,128721.0,95657.0,90210.0,6500.0,5300.0,4000.0,5000.0,3000.0,2974.0,1
USER_25019,100000.0,male,high school,single,49.0,Use of revolving credit,Use of revolving credit,No consumption,No consumption,No consumption,No consumption,33333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
USER_27824,80000.0,female,university,married,27.0,payment delay for 1 month,payment delay for 2 months,Use of revolving credit,Use of revolving credit,Use of revolving credit,Use of revolving credit,81841.0,79062.0,74722.0,40151.0,28424.0,29059.0,15.0,2876.0,2052.0,625.0,693.0,84.0,1
USER_10383,220000.0,female,graduate school,single,30.0,Paid in full,Paid in full,Paid in full,Use of revolving credit,Use of revolving credit,Paid in full,15069.0,0.0,14129.0,28246.0,9995.0,198.0,680.0,14129.0,16000.0,5000.0,198.0,14952.0,0
USER_21455,80000.0,female,high school,married,29.0,Use of revolving credit,Use of revolving credit,Use of revolving credit,Use of revolving credit,Use of revolving credit,Use of revolving credit,15008.0,17434.0,19145.0,21807.0,24442.0,27038.0,3000.0,2000.0,3000.0,3000.0,3000.0,1000.0,1
USER_27518,70000.0,male,high school,married,53.0,Paid in full,Paid in full,Paid in full,payment delay for 2 months,Use of revolving credit,Use of revolving credit,712.0,712.0,862.0,862.0,862.0,862.0,712.0,862.0,712.0,712.0,712.0,712.0,1
USER_20169,160000.0,female,graduate school,single,31.0,No consumption,No consumption,No consumption,No consumption,No consumption,No consumption,0.0,2036.0,796.0,5740.0,0.0,447.0,2036.0,796.0,5768.0,0.0,447.0,0.0,0
USER_25061,50000.0,male,graduate school,single,55.0,Use of revolving credit,Paid in full,Paid in full,Paid in full,Paid in full,Use of revolving credit,11045.0,3115.0,7161.0,5351.0,791.0,47774.0,3115.0,7161.0,5351.0,791.0,46983.0,2025.0,1
USER_12013,80000.0,male,university,single,30.0,Use of revolving credit,Use of revolving credit,Use of revolving credit,Use of revolving credit,Use of revolving credit,Use of revolving credit,79949.0,65416.0,45991.0,47229.0,48468.0,49490.0,2500.0,2000.0,2000.0,2000.0,1826.0,2000.0,0
USER_11568,50000.0,female,graduate school,married,32.0,Paid in full,Paid in full,Paid in full,Paid in full,Paid in full,Paid in full,39587.0,17900.0,5307.0,23102.0,64617.0,10542.0,18011.0,5307.0,23102.0,64617.0,10542.0,9702.0,0
USER_13501,50000.0,male,university,single,36.0,payment delay for 1 month,payment delay for 2 months,payment delay for 2 months,payment delay for 2 months,payment delay for 2 months,payment delay for 2 months,44570.0,45563.0,46115.0,47053.0,48150.0,49009.0,2000.0,1600.0,2000.0,2000.0,1800.0,0.0,1
USER_14213,50000.0,female,university,married,40.0,Use of revolving credit,Use of revolving credit,Use of revolving credit,Use of revolving credit,Use of revolving credit,Use of revolving credit,57030.0,48742.0,35628.0,31738.0,28217.0,29817.0,5000.0,2000.0,1022.0,1009.0,5000.0,1000.0,0
USER_9121,50000.0,male,university,single,32.0,No consumption,No consumption,No consumption,No consumption,No consumption,No consumption,1473.0,1473.0,390.0,390.0,540.0,390.0,1473.0,390.0,390.0,540.0,390.0,0.0,1
USER_8053,50000.0,male,high school,single,32.0,Use of revolving credit,Use of revolving credit,Use of revolving credit,Paid in full,Paid in full,No consumption,87182.0,82741.0,68883.0,265.0,-613.0,-613.0,3045.0,1497.0,265.0,0.0,0.0,31000.0,0
USER_16562,50000.0,male,graduate school,single,28.0,Use of revolving credit,Use of revolving credit,Use of revolving credit,payment delay for 2 months,payment delay for 2 months,Use of revolving credit,7164.0,9383.0,16571.0,16607.0,16043.0,16379.0,2515.0,7703.0,600.0,0.0,595.0,599.0,1
USER_8558,50000.0,male,graduate school,single,30.0,Paid in full,Paid in full,Paid in full,Use of revolving credit,Paid in full,Paid in full,28245.0,8017.0,19703.0,7474.0,2741.0,9526.0,8057.0,19764.0,37.0,2752.0,9573.0,25462.0,1
USER_5414,230000.0,female,graduate school,single,23.0,No consumption,No consumption,No consumption,No consumption,No consumption,No consumption,61580.0,62272.0,1462.0,622.0,1083.0,622.0,2862.0,1462.0,622.0,1083.0,622.0,872.0,1
USER_19089,20000.0,female,university,single,27.0,Paid in full,payment delay for 2 months,Use of revolving credit,Use of revolving credit,Use of revolving credit,payment delay for 2 months,20556.0,19403.0,13536.0,17623.0,18662.0,10243.0,8.0,2072.0,15000.0,1500.0,0.0,10000.0,0
USER_22008,80000.0,female,graduate school,single,24.0,Use of revolving credit,Use of revolving credit,Use of revolving credit,Paid in full,Paid in full,Use of revolving credit,42377.0,32482.0,20782.0,11632.0,64989.0,62392.0,2008.0,1000.0,11632.0,64989.0,1470.0,5027.0,1
USER_338,140000.0,female,university,single,31.0,No consumption,No consumption,No consumption,No consumption,No consumption,No consumption,390.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
USER_10597,50000.0,female,university,married,50.0,Use of revolving credit,Use of revolving credit,Use of revolving credit,Use of revolving credit,Use of revolving credit,Use of revolving credit,48926.0,45156.0,27762.0,19238.0,15585.0,15892.0,2036.0,1243.0,3991.0,712.0,715.0,582.0,1
USER_17658,80000.0,female,university,married,40.0,Use of revolving credit,Use of revolving credit,Use of revolving credit,Use of revolving credit,Use of revolving credit,Use of revolving credit,37123.0,38317.0,20896.0,21604.0,22035.0,22496.0,2072.0,1651.0,1359.0,790.0,817.0,821.0,1
USER_29215,20000.0,female,graduate school,single,24.0,payment delay for 1 month,payment delay for 2 months,payment delay for 2 months,payment delay for 2 months,Use of revolving credit,Use of revolving credit,6696.0,7437.0,8810.0,9470.0,18315.0,19237.0,1000.0,1495.0,1000.0,9000.0,1800.0,900.0,0
USER_4998,200000.0,female,university,married,45.0,Use of revolving credit,Use of revolving credit,Use of revolving credit,Use of revolving credit,Use of revolving credit,Use of revolving credit,193641.0,121830.0,122181.0,121888.0,66771.0,65495.0,4543.0,5000.0,4500.0,3100.0,3000.0,1300.0,1
USER_523,360000.0,female,graduate school,single,28.0,Paid in full,Paid in full,Paid in full,Use of revolving credit,Use of revolving credit,Paid in full,1210.0,820.0,64644.0,125984.0,106584.0,125557.0,390.0,75720.0,62520.0,17000.0,132200.0,167000.0,1
USER_16897,200000.0,female,university,single,40.0,payment delay for 1 month,No consumption,Paid in full,Paid in full,Paid in full,No consumption,0.0,0.0,200.0,1000.0,0.0,0.0,0.0,200.0,1000.0,0.0,0.0,0.0,0
USER_25027,20000.0,male,university,single,50.0,Use of revolving credit,Use of revolving credit,payment delay for 2 months,Use of revolving credit,Use of revolving credit,Use of revolving credit,8639.0,10483.0,11016.0,12027.0,12030.0,12535.0,2000.0,1000.0,1500.0,500.0,700.0,700.0,0
USER_9518,50000.0,male,university,single,24.0,payment delay for 1 month,payment delay for 2 months,payment delay for 2 months,payment delay for 2 months,payment delay for 2 months,payment delay for 2 months,33991.0,33168.0,34805.0,34933.0,36692.0,37934.0,0.0,2500.0,1000.0,2900.0,2000.0,1500.0,0
USER_5630,200000.0,female,graduate school,married,40.0,Paid in full,Paid in full,Paid in full,Paid in full,Paid in full,Paid in full,316.0,316.0,316.0,316.0,316.0,316.0,316.0,316.0,316.0,316.0,316.0,316.0,0
USER_11178,50000.0,female,university,single,30.0,Use of revolving credit,Use of revolving credit,Use of revolving credit,Use of revolving credit,Use of revolving credit,Use of revolving credit,48779.0,50097.0,50313.0,10264.0,10082.0,9899.0,2400.0,1700.0,348.0,354.0,362.0,320.0,1
USER_26121,50000.0,female,university,married,30.0,Use of revolving credit,Use of revolving credit,Use of revolving credit,Use of revolving credit,Use of revolving credit,Paid in full,42326.0,19067.0,7690.0,8322.0,5522.0,1522.0,1500.0,1500.0,1000.0,200.0,2000.0,50000.0,1
USER_2594,90000.0,female,university,single,49.0,Paid in full,Paid in full,No consumption,No consumption,No consumption,No consumption,1722.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11135.0,0
USER_1330,20000.0,female,university,married,49.0,Use of revolving credit,Use of revolving credit,Paid in full,Paid in full,Use of revolving credit,Use of revolving credit,13882.0,13342.0,808.0,18910.0,19306.0,19809.0,2018.0,404.0,19000.0,677.0,800.0,601.0,0
USER_2921,50000.0,male,high school,married,53.0,Use of revolving credit,Use of revolving credit,Use of revolving credit,Use of revolving credit,Use of revolving credit,Use of revolving credit,49466.0,50544.0,25381.0,9652.0,9464.0,9248.0,2442.0,1669.0,330.0,1342.0,330.0,430.0,1
USER_5672,180000.0,male,university,single,29.0,Use of revolving credit,Use of revolving credit,Use of revolving credit,Use of revolving credit,Use of revolving credit,Use of revolving credit,98535.0,99196.0,98905.0,75576.0,59889.0,51422.0,3977.0,6516.0,1611.0,3000.0,7080.0,1132.0,0
USER_11399,140000.0,male,graduate school,single,43.0,Use of revolving credit,Use of revolving credit,Use of revolving credit,Use of revolving credit,Use of revolving credit,Use of revolving credit,138859.0,141393.0,135784.0,136258.0,137747.0,138593.0,5100.0,4779.0,6000.0,6000.0,6000.0,5200.0,0
USER_20661,10000.0,male,high school,single,36.0,Paid in full,Paid in full,Paid in full,Paid in full,Use of revolving credit,Use of revolving credit,576.0,3100.0,3629.0,6260.0,5990.0,6520.0,4009.0,4011.0,6260.0,120.0,2000.0,2000.0,1
USER_13529,20000.0,male,high school,single,31.0,payment delay for 2 months,payment delay for 2 months,payment delay for 2 months,payment delay for 2 months,payment delay for 2 months,payment delay for 2 months,13335.0,15617.0,15090.0,16859.0,16472.0,21819.0,2800.0,0.0,2001.0,0.0,5782.0,0.0,1
USER_8614,50000.0,female,university,married,33.0,Paid in full,Paid in full,Paid in full,Paid in full,Paid in full,Paid in full,1870.0,0.0,400.0,1000.0,0.0,1243.0,0.0,400.0,1000.0,0.0,1243.0,6912.0,1
USER_29397,50000.0,female,graduate school,single,28.0,Use of revolving credit,Use of revolving credit,Use of revolving credit,Use of revolving credit,Use of revolving credit,Use of revolving credit,227346.0,231891.0,240146.0,245552.0,91382.0,93177.0,8308.0,12000.0,10373.0,3403.0,4000.0,4000.0,1
USER_19469,50000.0,female,university,married,32.0,Use of revolving credit,Use of revolving credit,Use of revolving credit,Use of revolving credit,Use of revolving credit,Use of revolving credit,61605.0,64250.0,66293.0,57657.0,53035.0,54693.0,3500.0,3049.0,2706.0,1870.0,3000.0,4000.0,0
USER_19921,50000.0,female,university,married,40.0,Use of revolving credit,Use of revolving credit,Use of revolving credit,Use of revolving credit,Use of revolving credit,Use of revolving credit,44749.0,46229.0,46798.0,47647.0,40500.0,41921.0,2229.0,2298.0,2100.0,2500.0,1921.0,8432.0,1
USER_25796,50000.0,female,university,married,45.0,Use of revolving credit,Use of revolving credit,Use of revolving credit,Use of revolving credit,Use of revolving credit,Use of revolving credit,77995.0,79552.0,81392.0,80966.0,79295.0,81142.0,2855.0,3130.0,3107.0,2847.0,3134.0,3072.0,1
USER_19654,240000.0,female,graduate school,single,32.0,Paid in full,Use of revolving credit,Use of revolving credit,Use of revolving credit,Use of revolving credit,Use of revolving credit,89988.0,27329.0,21061.0,27585.0,18019.0,18116.0,18063.0,18008.0,27067.0,18046.0,10018.0,17038.0,0
USER_16417,410000.0,female,graduate school,married,44.0,No consumption,No consumption,No consumption,No consumption,No consumption,No consumption,-1.0,1733.0,-2506.0,-2506.0,-2506.0,-2506.0,1734.0,2506.0,0.0,0.0,0.0,0.0,1
USER_11031,20000.0,male,university,single,24.0,Use of revolving credit,Use of revolving credit,payment delay for 2 months,payment delay for 2 months,Use of revolving credit,Use of revolving credit,17196.0,20609.0,20654.0,19118.0,18104.0,19846.0,4007.0,700.0,0.0,1000.0,2000.0,800.0,1
USER_29813,200000.0,male,university,married,37.0,Use of revolving credit,Use of revolving credit,Use of revolving credit,Use of revolving credit,Use of revolving credit,Use of revolving credit,149303.0,156632.0,136685.0,137432.0,138059.0,126615.0,30000.0,30000.0,4148.0,15100.0,8029.0,15004.0,0
